DATAFLOW,LAST UPDATE,freq,quantile,quant_inc,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ICW_TAX_09(1.0),12/08/24 23:00:00,Annual,Median,First quintile,Percentage,Belgium,2020,17.2,s
ESTAT:ICW_TAX_09(1.0),12/08/24 23:00:00,Annual,Median,First quintile,Percentage,Czechia,2020,11.3,s
ESTAT:ICW_TAX_09(1.0),12/08/24 23:00:00,Annual,Median,First quintile,Percentage,Germany,2020,23.3,s
ESTAT:ICW_TAX_09(1.0),12/08/24 23:00:00,Annual,Median,First quintile,Percentage,Spain,2020,28.4,s
ESTAT:ICW_TAX_09(1.0),12/08/24 23:00:00,Annual,Median,First quintile,Percentage,France,2020,22.2,s
ESTAT:ICW_TAX_09(1.0),12/08/24 23:00:00,Annual,Median,First quintile,Percentage,Netherlands,2020,26.9,s
ESTAT:ICW_TAX_09(1.0),12/08/24 23:00:00,Annual,Median,First quintile,Percentage,Poland,2020,25.2,s
ESTAT:ICW_TAX_09(1.0),12/08/24 23:00:00,Annual,Median,First quintile,Percentage,Portugal,2020,19.9,s
ESTAT:ICW_TAX_09(1.0),12/08/24 23:00:00,Annual,Median,First quintile,Percentage,Sweden,2020,36,s
ESTAT:ICW_TAX_09(1.0),12/08/24 23:00:00,Annual,Median,Second quintile,Percentage,Belgium,2020,25.2,s
ESTAT:ICW_TAX_09(1.0),12/08/24 23:00:00,Annual,Median,Second quintile,Percentage,Czechia,2020,13.3,s
ESTAT:ICW_TAX_09(1.0),12/08/24 23:00:00,Annual,Median,Second quintile,Percentage,Germany,2020,25.8,s
ESTAT:ICW_TAX_09(1.0),12/08/24 23:00:00,Annual,Median,Second quintile,Percentage,Spain,2020,24.2,s
ESTAT:ICW_TAX_09(1.0),12/08/24 23:00:00,Annual,Median,Second quintile,Percentage,France,2020,25.1,s
ESTAT:ICW_TAX_09(1.0),12/08/24 23:00:00,Annual,Median,Second quintile,Percentage,Netherlands,2020,28.9,s
ESTAT:ICW_TAX_09(1.0),12/08/24 23:00:00,Annual,Median,Second quintile,Percentage,Poland,2020,25.7,s
ESTAT:ICW_TAX_09(1.0),12/08/24 23:00:00,Annual,Median,Second quintile,Percentage,Portugal,2020,21.1,s
ESTAT:ICW_TAX_09(1.0),12/08/24 23:00:00,Annual,Median,Second quintile,Percentage,Sweden,2020,36.7,s
ESTAT:ICW_TAX_09(1.0),12/08/24 23:00:00,Annual,Median,Third quintile,Percentage,Belgium,2020,28.4,s
ESTAT:ICW_TAX_09(1.0),12/08/24 23:00:00,Annual,Median,Third quintile,Percentage,Czechia,2020,17.3,s
ESTAT:ICW_TAX_09(1.0),12/08/24 23:00:00,Annual,Median,Third quintile,Percentage,Germany,2020,31.3,s
ESTAT:ICW_TAX_09(1.0),12/08/24 23:00:00,Annual,Median,Third quintile,Percentage,Spain,2020,24.9,s
ESTAT:ICW_TAX_09(1.0),12/08/24 23:00:00,Annual,Median,Third quintile,Percentage,France,2020,26.6,s
ESTAT:ICW_TAX_09(1.0),12/08/24 23:00:00,Annual,Median,Third quintile,Percentage,Netherlands,2020,33.6,s
