DATAFLOW,LAST UPDATE,freq,unit,spdepm,spdepb,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TPS00103(1.0),07/11/24 23:00:00,Annual,Percentage of gross domestic product (GDP),Total,Total,Belgium,2021,12.62,p
ESTAT:TPS00103(1.0),07/11/24 23:00:00,Annual,Percentage of gross domestic product (GDP),Total,Total,Czechia,2021,8.63,
ESTAT:TPS00103(1.0),07/11/24 23:00:00,Annual,Percentage of gross domestic product (GDP),Total,Total,Germany,2021,12,
ESTAT:TPS00103(1.0),07/11/24 23:00:00,Annual,Percentage of gross domestic product (GDP),Total,Total,Spain,2021,13.77,
ESTAT:TPS00103(1.0),07/11/24 23:00:00,Annual,Percentage of gross domestic product (GDP),Total,Total,European Union - 27 countries (from 2020),2021,12.77,p
ESTAT:TPS00103(1.0),07/11/24 23:00:00,Annual,Percentage of gross domestic product (GDP),Total,Total,France,2021,14.86,p
ESTAT:TPS00103(1.0),07/11/24 23:00:00,Annual,Percentage of gross domestic product (GDP),Total,Total,Italy,2021,16.19,p
ESTAT:TPS00103(1.0),07/11/24 23:00:00,Annual,Percentage of gross domestic product (GDP),Total,Total,Netherlands,2021,11.84,
ESTAT:TPS00103(1.0),07/11/24 23:00:00,Annual,Percentage of gross domestic product (GDP),Total,Total,Poland,2021,10.85,
ESTAT:TPS00103(1.0),07/11/24 23:00:00,Annual,Percentage of gross domestic product (GDP),Total,Total,Portugal,2021,14.16,
ESTAT:TPS00103(1.0),07/11/24 23:00:00,Annual,Percentage of gross domestic product (GDP),Total,Total,Sweden,2021,10.64,p
