STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,LOCATION,Country,INDICATOR,Indicator,SUBJECT,Subject,MEASURE,Measure,FREQUENCY,Frequency,TIME_PERIOD,Time,OBS_VALUE,Observation Value,OBS_STATUS,Observation Status,UNIT_MEASURE,Unit of Measures,UNIT_MULT,Multiplier,BASE_PER,Base reference period
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,EU27_2020,European Union – 27 countries (from 01/02/2020),YOUTHUNEMP,Youth unemployment rate,MEN,Men,PC_YOUTHLF,% of youth labour force,A,Annual,2022,,14.525,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,PRT,Portugal,YOUTHUNEMP,Youth unemployment rate,MEN,Men,PC_YOUTHLF,% of youth labour force,A,Annual,2022,,18.1,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,POL,Poland,YOUTHUNEMP,Youth unemployment rate,WOMEN,Women,PC_YOUTHLF,% of youth labour force,A,Annual,2022,,11.30833,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,NLD,Netherlands,YOUTHUNEMP,Youth unemployment rate,WOMEN,Women,PC_YOUTHLF,% of youth labour force,A,Annual,2022,,7.941667,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,NLD,Netherlands,YOUTHUNEMP,Youth unemployment rate,MEN,Men,PC_YOUTHLF,% of youth labour force,A,Annual,2022,,7.316667,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,CZE,Czechia,YOUTHUNEMP,Youth unemployment rate,WOMEN,Women,PC_YOUTHLF,% of youth labour force,A,Annual,2022,,8.533334,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,PRT,Portugal,YOUTHUNEMP,Youth unemployment rate,WOMEN,Women,PC_YOUTHLF,% of youth labour force,A,Annual,2022,,20.50833,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ITA,Italy,YOUTHUNEMP,Youth unemployment rate,WOMEN,Women,PC_YOUTHLF,% of youth labour force,A,Annual,2022,,25.875,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Germany,YOUTHUNEMP,Youth unemployment rate,WOMEN,Women,PC_YOUTHLF,% of youth labour force,A,Annual,2022,,5.466667,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Germany,YOUTHUNEMP,Youth unemployment rate,MEN,Men,PC_YOUTHLF,% of youth labour force,A,Annual,2022,,6.25,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,FRA,France,YOUTHUNEMP,Youth unemployment rate,WOMEN,Women,PC_YOUTHLF,% of youth labour force,A,Annual,2022,,15.95,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ITA,Italy,YOUTHUNEMP,Youth unemployment rate,MEN,Men,PC_YOUTHLF,% of youth labour force,A,Annual,2022,,22.3,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,CZE,Czechia,YOUTHUNEMP,Youth unemployment rate,MEN,Men,PC_YOUTHLF,% of youth labour force,A,Annual,2022,,7.008333,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,BEL,Belgium,YOUTHUNEMP,Youth unemployment rate,WOMEN,Women,PC_YOUTHLF,% of youth labour force,A,Annual,2022,,14.375,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,BEL,Belgium,YOUTHUNEMP,Youth unemployment rate,MEN,Men,PC_YOUTHLF,% of youth labour force,A,Annual,2022,,18.025,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,EU27_2020,European Union – 27 countries (from 01/02/2020),YOUTHUNEMP,Youth unemployment rate,WOMEN,Women,PC_YOUTHLF,% of youth labour force,A,Annual,2022,,14.48333,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,YOUTHUNEMP,Youth unemployment rate,MEN,Men,PC_YOUTHLF,% of youth labour force,A,Annual,2022,,20.175,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ESP,Spain,YOUTHUNEMP,Youth unemployment rate,WOMEN,Women,PC_YOUTHLF,% of youth labour force,A,Annual,2022,,30.66667,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,POL,Poland,YOUTHUNEMP,Youth unemployment rate,MEN,Men,PC_YOUTHLF,% of youth labour force,A,Annual,2022,,10.375,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,YOUTHUNEMP,Youth unemployment rate,WOMEN,Women,PC_YOUTHLF,% of youth labour force,A,Annual,2022,,23.36667,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ESP,Spain,YOUTHUNEMP,Youth unemployment rate,MEN,Men,PC_YOUTHLF,% of youth labour force,A,Annual,2022,,28.9,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,FRA,France,YOUTHUNEMP,Youth unemployment rate,MEN,Men,PC_YOUTHLF,% of youth labour force,A,Annual,2022,,18.425,,A,,,,,,,
