Age (year by year)	Spaniards/Foreigners	Sex	Year	Total
0 years old	Spaniards	Males	2022	141147
0 years old	Spaniards	Females	2022	132798
1 year old	Spaniards	Males	2022	147033
1 year old	Spaniards	Females	2022	140476
2 years old	Spaniards	Males	2022	158797
2 years old	Spaniards	Females	2022	150166
3 years old	Spaniards	Males	2022	168399
3 years old	Spaniards	Females	2022	159681
4 years old	Spaniards	Males	2022	182110
4 years old	Spaniards	Females	2022	171462
5 years old	Spaniards	Males	2022	192064
5 years old	Spaniards	Females	2022	181644
6 years old	Spaniards	Males	2022	198237
6 years old	Spaniards	Females	2022	187627
7 years old	Spaniards	Males	2022	203102
7 years old	Spaniards	Females	2022	191086
8 years old	Spaniards	Males	2022	201803
8 years old	Spaniards	Females	2022	191146
9 years old	Spaniards	Males	2022	215846
9 years old	Spaniards	Females	2022	203444
10 years old	Spaniards	Males	2022	222811
10 years old	Spaniards	Females	2022	210131
11 years old	Spaniards	Males	2022	228000
11 years old	Spaniards	Females	2022	215588
12 years old	Spaniards	Males	2022	233567
12 years old	Spaniards	Females	2022	219484
13 years old	Spaniards	Males	2022	245753
13 years old	Spaniards	Females	2022	231517
14 years old	Spaniards	Males	2022	237812
14 years old	Spaniards	Females	2022	224814
15 years old	Spaniards	Males	2022	237255
15 years old	Spaniards	Females	2022	224632
16 years old	Spaniards	Males	2022	230695
16 years old	Spaniards	Females	2022	220017
17 years old	Spaniards	Males	2022	229722
17 years old	Spaniards	Females	2022	217654
18 years old	Spaniards	Males	2022	225523
18 years old	Spaniards	Females	2022	215670
19 years old	Spaniards	Males	2022	218198
19 years old	Spaniards	Females	2022	207452
20 years old	Spaniards	Males	2022	215869
20 years old	Spaniards	Females	2022	206012
21 years old	Spaniards	Males	2022	217175
21 years old	Spaniards	Females	2022	204431
22 years old	Spaniards	Males	2022	209745
22 years old	Spaniards	Females	2022	199406
23 years old	Spaniards	Males	2022	203280
23 years old	Spaniards	Females	2022	191068
24 years old	Spaniards	Males	2022	204242
24 years old	Spaniards	Females	2022	194193
25 years old	Spaniards	Males	2022	200750
25 years old	Spaniards	Females	2022	191497
26 years old	Spaniards	Males	2022	200767
26 years old	Spaniards	Females	2022	190658
27 years old	Spaniards	Males	2022	202436
27 years old	Spaniards	Females	2022	192692
28 years old	Spaniards	Males	2022	209839
28 years old	Spaniards	Females	2022	199627
29 years old	Spaniards	Males	2022	214840
29 years old	Spaniards	Females	2022	205729
30 years old	Spaniards	Males	2022	214074
30 years old	Spaniards	Females	2022	203998
31 years old	Spaniards	Males	2022	215097
31 years old	Spaniards	Females	2022	206232
32 years old	Spaniards	Males	2022	218400
32 years old	Spaniards	Females	2022	210277
33 years old	Spaniards	Males	2022	222022
