Province of registration;Place of birth;year;Total
TOTAL NATIONAL;Total place of birth;2024;2,908,649
TOTAL NATIONAL;Total place of birth;2023;2,790,317
TOTAL NATIONAL;Total place of birth;2022;2,742,605
TOTAL NATIONAL;Total place of birth;2021;2,654,723
TOTAL NATIONAL;Total place of birth;2020;2,618,592
TOTAL NATIONAL;Total place of birth;2019;2,545,729
TOTAL NATIONAL;Total place of birth;2018;2,482,808
TOTAL NATIONAL;Total place of birth;2017;2,406,611
TOTAL NATIONAL;Total place of birth;2016;2,305,030
TOTAL NATIONAL;Total place of birth;2015;2,183,043
TOTAL NATIONAL;Total place of birth;2014;2,058,048
TOTAL NATIONAL;Total place of birth;2013;1,931,248
TOTAL NATIONAL;Total place of birth;2012;1,816,835
TOTAL NATIONAL;Total place of birth;2011;1,702,778
TOTAL NATIONAL;Total place of birth;2010;1,574,123
TOTAL NATIONAL;Total place of birth;2009;1,471,691
