STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,LOCATION,Country,INDICATOR,Indicator,SUBJECT,Subject,MEASURE,Measure,FREQUENCY,Frequency,TIME_PERIOD,Time,OBS_VALUE,Observation Value,OBS_STATUS,Observation Status,UNIT_MEASURE,Unit of Measures,UNIT_MULT,Multiplier,BASE_PER,Base reference period
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ESP,Spain,TEMPEMP,Temporary employment,15_24,15-24 year-olds,PC_DEPEMP,% of dependent employment,A,Annual,2013,,64.69,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ESP,Spain,TEMPEMP,Temporary employment,25_54,25-54 year-olds,PC_DEPEMP,% of dependent employment,A,Annual,2022,,20.28,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ESP,Spain,TEMPEMP,Temporary employment,15_24,15-24 year-olds,PC_DEPEMP,% of dependent employment,A,Annual,2010,,58.43,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ESP,Spain,TEMPEMP,Temporary employment,15_24,15-24 year-olds,PC_DEPEMP,% of dependent employment,A,Annual,2011,,61.17,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ESP,Spain,TEMPEMP,Temporary employment,15_24,15-24 year-olds,PC_DEPEMP,% of dependent employment,A,Annual,2018,,71.17,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ESP,Spain,TEMPEMP,Temporary employment,15_24,15-24 year-olds,PC_DEPEMP,% of dependent employment,A,Annual,2019,,69.48,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ESP,Spain,TEMPEMP,Temporary employment,25_54,25-54 year-olds,PC_DEPEMP,% of dependent employment,A,Annual,2014,,23.64,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ESP,Spain,TEMPEMP,Temporary employment,25_54,25-54 year-olds,PC_DEPEMP,% of dependent employment,A,Annual,2015,,24.84,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ESP,Spain,TEMPEMP,Temporary employment,15_24,15-24 year-olds,PC_DEPEMP,% of dependent employment,A,Annual,2020,,66.32,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ESP,Spain,TEMPEMP,Temporary employment,25_54,25-54 year-olds,PC_DEPEMP,% of dependent employment,A,Annual,2016,,25.71,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ESP,Spain,TEMPEMP,Temporary employment,15_24,15-24 year-olds,PC_DEPEMP,% of dependent employment,A,Annual,2022,,59.39,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ESP,Spain,TEMPEMP,Temporary employment,25_54,25-54 year-olds,PC_DEPEMP,% of dependent employment,A,Annual,2021,,24.75,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ESP,Spain,TEMPEMP,Temporary employment,25_54,25-54 year-olds,PC_DEPEMP,% of dependent employment,A,Annual,2010,,23.62,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ESP,Spain,TEMPEMP,Temporary employment,25_54,25-54 year-olds,PC_DEPEMP,% of dependent employment,A,Annual,2012,,22.88,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ESP,Spain,TEMPEMP,Temporary employment,15_24,15-24 year-olds,PC_DEPEMP,% of dependent employment,A,Annual,2016,,72.87,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ESP,Spain,TEMPEMP,Temporary employment,15_24,15-24 year-olds,PC_DEPEMP,% of dependent employment,A,Annual,2014,,69.13,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ESP,Spain,TEMPEMP,Temporary employment,25_54,25-54 year-olds,PC_DEPEMP,% of dependent employment,A,Annual,2013,,22.71,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ESP,Spain,TEMPEMP,Temporary employment,25_54,25-54 year-olds,PC_DEPEMP,% of dependent employment,A,Annual,2018,,26.34,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ESP,Spain,TEMPEMP,Temporary employment,25_54,25-54 year-olds,PC_DEPEMP,% of dependent employment,A,Annual,2020,,23.87,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ESP,Spain,TEMPEMP,Temporary employment,15_24,15-24 year-olds,PC_DEPEMP,% of dependent employment,A,Annual,2017,,73.33,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ESP,Spain,TEMPEMP,Temporary employment,15_24,15-24 year-olds,PC_DEPEMP,% of dependent employment,A,Annual,2021,,69.09,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ESP,Spain,TEMPEMP,Temporary employment,15_24,15-24 year-olds,PC_DEPEMP,% of dependent employment,A,Annual,2012,,62.18,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ESP,Spain,TEMPEMP,Temporary employment,15_24,15-24 year-olds,PC_DEPEMP,% of dependent employment,A,Annual,2015,,70.38,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ESP,Spain,TEMPEMP,Temporary employment,25_54,25-54 year-olds,PC_DEPEMP,% of dependent employment,A,Annual,2011,,24.36,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ESP,Spain,TEMPEMP,Temporary employment,25_54,25-54 year-olds,PC_DEPEMP,% of dependent employment,A,Annual,2019,,25.71,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ESP,Spain,TEMPEMP,Temporary employment,25_54,25-54 year-olds,PC_DEPEMP,% of dependent employment,A,Annual,2017,,26.25,,A,,,,,,,
